By province,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
By province,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old,Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old
Daejeon,1.277,1.8,12.4,67.1,120.6,47.9,5.0,0.2,1.192,1.4,12.3,57.9,111.3,49.0,5.4,0.1,1.075,1.5,9.2,51.8,98.8,45.8,5.9,0.2,0.952,1.3,8.3,41.8,88.6,42.9,5.5,0.2,0.883,0.7,7.0,36.7,82.0,42.0,6.1,0.1,0.805,0.8,5.9,30.1,76.1,39.7,6.4,0.2,0.810,0.5,5.0,28.9,76.6,41.9,6.8,0.2,0.842,0.3,5.0,26.8,78.5,47.4,8.3,0.2,0.787,0.6,3.9,24.6,74.8,44.4,7.7,0.2,0.792,0.3,4.1,22.1,76.1,47.1,7.7,0.2
Daegu,1.216,1.1,9.3,59.5,120.3,47.0,4.8,0.1,1.186,0.9,9.0,55.8,115.9,48.5,5.2,0.1,1.067,0.8,7.8,47.6,104.0,45.7,5.1,0.2,0.987,0.7,6.5,40.9,96.1,45.2,5.4,0.1,0.932,0.6,5.7,37.1,91.3,43.0,5.8,0.1,0.807,0.6,5.4,29.3,79.6,38.0,5.8,0.2,0.785,0.5,4.0,25.6,76.8,41.1,6.3,0.1,0.757,0.2,3.3,23.6,75.4,39.7,6.9,0.1,0.702,0.3,3.2,20.5,66.6,41.3,6.9,0.2,0.754,0.3,3.2,19.7,74.5,45.0,7.0,0.2
Gyeonggi-do,1.272,1.1,11.9,65.9,119.8,49.1,5.7,0.2,1.194,1.0,11.2,57.6,113.1,48.7,6.0,0.2,1.069,0.8,9.2,48.3,100.6,47.5,6.1,0.2,1.002,0.7,7.6,41.8,94.7,47.2,6.5,0.2,0.943,0.7,6.7,36.5,89.3,46.2,7.2,0.2,0.878,0.7,5.9,32.3,83.3,44.3,7.5,0.2,0.853,0.4,4.9,29.0,81.2,45.6,7.9,0.2,0.839,0.3,4.0,25.7,80.0,47.8,8.7,0.2,0.766,0.3,3.8,22.6,71.9,45.4,8.3,0.2,0.789,0.4,3.7,21.6,75.1,48.6,8.0,0.3
Jeollabuk-do,1.352,1.9,17.6,78.0,119.0,46.0,5.6,0.2,1.251,1.5,16.1,66.8,113.5,43.9,5.7,0.2,1.151,1.3,13.4,61.4,100.7,44.7,5.7,0.2,1.044,1.1,12.1,49.7,92.5,43.9,6.4,0.2,0.971,1.1,10.5,45.0,87.3,40.8,6.4,0.2,0.909,1.1,8.1,40.3,82.4,40.3,6.9,0.2,0.850,0.6,6.9,36.5,75.9,40.3,7.3,0.2,0.817,0.6,5.8,30.6,77.4,40.2,6.8,0.2,0.780,0.6,5.2,29.0,72.6,39.6,7.2,0.2,0.808,0.8,5.7,28.1,75.6,42.9,7.1,0.2
Whole country,1.239,1.4,12.5,63.1,116.7,48.3,5.6,0.2,1.172,1.3,11.5,56.4,110.1,48.7,5.9,0.2,1.052,1.0,9.6,47.9,97.7,47.2,6.0,0.2,0.977,0.9,8.2,41.0,91.4,46.1,6.4,0.2,0.918,0.8,7.1,35.7,86.2,45.0,7.0,0.2,0.837,0.7,6.2,30.6,78.9,42.3,7.1,0.2,0.808,0.4,5.0,27.5,76.1,43.5,7.6,0.2,0.778,0.4,4.1,24.0,73.5,44.1,8.0,0.2,0.721,0.3,3.8,21.4,66.7,43.0,7.9,0.2,0.748,0.4,3.8,20.7,70.4,46.0,7.7,0.2
Gangwon-do,1.311,2.1,17.1,77.6,114.6,42.7,5.5,0.1,1.237,1.5,15.6,71.8,107.8,42.5,5.2,0.1,1.123,1.4,13.3,64.7,95.6,41.0,5.9,0.1,1.067,1.2,12.1,57.6,91.5,42.7,5.6,0.2,1.082,1.3,11.0,54.7,96.6,43.1,6.7,0.3,1.036,1.3,10.2,51.0,92.7,42.4,7.3,0.1,0.979,0.5,8.5,47.0,87.2,43.1,7.3,0.2,0.968,0.6,8.2,43.1,86.8,44.8,8.4,0.2,0.893,0.8,6.3,37.0,80.5,44.6,8.4,0.2,0.889,0.6,5.8,36.4,82.9,44.4,7.3,0.2
Incheon,1.216,1.6,13.1,62.7,113.2,46.6,5.7,0.1,1.144,1.4,12.9,55.7,105.8,46.8,5.4,0.2,1.007,1.2,10.3,46.3,92.0,44.6,5.9,0.1,1.006,1.2,9.1,43.3,92.3,47.1,6.6,0.2,0.940,1.0,8.5,36.2,87.0,46.3,7.1,0.2,0.829,0.8,6.6,30.6,76.9,42.4,6.9,0.2,0.778,0.7,5.3,27.5,71.0,42.1,7.7,0.2,0.747,0.4,4.5,24.3,67.9,43.1,8.0,0.2,0.694,0.4,4.1,22.2,62.2,41.4,7.8,0.1,0.762,0.4,4.6,23.2,70.4,45.9,7.8,0.2
Gwangju,1.207,1.4,12.6,62.7,113.2,45.0,5.6,0.3,1.168,1.4,11.4,60.4,107.1,45.9,5.6,0.2,1.053,1.2,9.9,50.9,95.9,45.0,5.5,0.2,0.972,1.0,8.7,40.8,91.4,44.1,5.8,0.2,0.913,0.8,7.1,37.3,85.7,42.2,6.6,0.1,0.811,0.6,5.5,30.3,75.9,40.6,6.7,0.2,0.896,0.6,5.0,32.0,86.1,45.2,7.3,0.3,0.844,0.4,4.1,28.8,80.6,45.1,7.4,0.2,0.706,0.2,4.1,23.5,66.1,39.0,6.5,0.1,0.699,0.5,3.8,20.3,68.0,40.5,5.6,0.2
Busan,1.139,1.4,10.1,51.3,110.0,49.5,5.8,0.1,1.095,1.5,9.0,46.2,105.8,50.5,6.2,0.2,0.976,1.1,7.4,40.0,92.3,47.7,6.1,0.1,0.899,1.1,5.7,32.8,86.5,46.0,6.2,0.1,0.827,0.8,5.2,28.8,79.3,42.5,6.6,0.2,0.747,0.7,4.6,24.7,72.5,38.7,6.6,0.1,0.728,0.2,3.7,21.4,69.8,41.6,7.2,0.1,0.723,0.3,3.0,19.2,70.5,42.3,7.6,0.1,0.664,0.4,2.9,17.4,62.3,41.2,7.5,0.2,0.683,0.2,2.7,16.5,65.5,44.0,6.8,0.3
Seoul,1.001,1.0,6.4,38.1,100.4,49.6,6.0,0.2,0.940,0.9,5.4,33.3,93.3,49.8,6.3,0.2,0.836,0.7,4.5,26.6,81.3,48.3,6.4,0.2,0.761,0.6,3.5,21.5,73.8,45.3,7.1,0.2,0.717,0.5,3.0,17.7,68.2,45.5,7.5,0.2,0.642,0.3,2.5,14.3,60.3,42.4,7.7,0.2,0.626,0.2,1.8,12.1,57.6,43.9,8.3,0.2,0.593,0.2,1.4,9.9,53.5,43.4,8.7,0.2,0.552,0.2,1.3,8.5,47.3,43.1,8.7,0.2,0.581,0.2,1.3,8.3,49.4,46.9,8.9,0.2
